Id,Name,Latitude,Longitude,Code,GmCode,Province,ProvinceId,ProvinceCode
1191,Leusden,NULL,NULL,0327,GM0327,Utrecht,26,PV26
1192,Lingewaard,NULL,NULL,1705,GM1705,Gelderland,25,PV25
1193,Lisse,NULL,NULL,0553,GM0553,Zuid-Holland,28,PV28
1194,Lochem,NULL,NULL,0262,GM0262,Gelderland,25,PV25
1195,Loon op Zand,NULL,NULL,0809,GM0809,Noord-Brabant,30,PV30
1196,Lopik,NULL,NULL,0331,GM0331,Utrecht,26,PV26
1197,Losser,NULL,NULL,0168,GM0168,Overijssel,23,PV23
1198,Maasdriel,NULL,NULL,0263,GM0263,Gelderland,25,PV25
1199,Maasgouw,NULL,NULL,1641,GM1641,Limburg,31,PV31
1200,Maashorst,NULL,NULL,1991,GM1991,Noord-Brabant,30,PV30
1201,Maassluis,NULL,NULL,0556,GM0556,Zuid-Holland,28,PV28
1202,Maastricht,NULL,NULL,0935,GM0935,Limburg,31,PV31
1203,Medemblik,NULL,NULL,0420,GM0420,Noord-Holland,27,PV27
1204,Meerssen,NULL,NULL,0938,GM0938,Limburg,31,PV31
1205,Meierijstad,NULL,NULL,1948,GM1948,Noord-Brabant,30,PV30
1206,Meppel,NULL,NULL,0119,GM0119,Drenthe,22,PV22
1207,Middelburg (Z.),NULL,NULL,0687,GM0687,Zeeland,29,PV29
1208,Midden-Delfland,NULL,NULL,1842,GM1842,Zuid-Holland,28,PV28
1209,Midden-Drenthe,NULL,NULL,1731,GM1731,Drenthe,22,PV22
1210,Midden-Groningen,NULL,NULL,1952,GM1952,Groningen,20,PV20
1211,Moerdijk,NULL,NULL,1709,GM1709,Noord-Brabant,30,PV30
1212,Molenlanden,NULL,NULL,1978,GM1978,Zuid-Holland,28,PV28
1213,Montferland,NULL,NULL,1955,GM1955,Gelderland,25,PV25
1214,Montfoort,NULL,NULL,0335,GM0335,Utrecht,26,PV26
1215,Mook en Middelaar,NULL,NULL,0944,GM0944,Limburg,31,PV31
1216,Neder-Betuwe,NULL,NULL,1740,GM1740,Gelderland,25,PV25
1217,Nederweert,NULL,NULL,0946,GM0946,Limburg,31,PV31
1218,Nieuwegein,NULL,NULL,0356,GM0356,Utrecht,26,PV26
1219,Nieuwkoop,NULL,NULL,0569,GM0569,Zuid-Holland,28,PV28
1220,Nijkerk,NULL,NULL,0267,GM0267,Gelderland,25,PV25
1221,Nijmegen,NULL,NULL,0268,GM0268,Gelderland,25,PV25
1222,Nissewaard,NULL,NULL,1930,GM1930,Zuid-Holland,28,PV28
1223,Noardeast-Frysl�n,NULL,NULL,1970,GM1970,Friesland,21,PV21
1224,Noord-Beveland,NULL,NULL,1695,GM1695,Zeeland,29,PV29
1225,Noordenveld,NULL,NULL,1699,GM1699,Drenthe,22,PV22
1226,Noordoostpolder,NULL,NULL,0171,GM0171,Flevoland,24,PV24
1227,Noordwijk,NULL,NULL,0575,GM0575,Zuid-Holland,28,PV28
1228,Nuenen,NULL,NULL,0820,GM0820,PV30," Gerwen en Nederwetten""",30
1229,Nunspeet,NULL,NULL,0302,GM0302,Gelderland,25,PV25
1230,Oegstgeest,NULL,NULL,0579,GM0579,Zuid-Holland,28,PV28
1231,Oirschot,NULL,NULL,0823,GM0823,Noord-Brabant,30,PV30
1232,Oisterwijk,NULL,NULL,0824,GM0824,Noord-Brabant,30,PV30
1233,Oldambt,NULL,NULL,1895,GM1895,Groningen,20,PV20
1234,Oldebroek,NULL,NULL,0269,GM0269,Gelderland,25,PV25
1235,Oldenzaal,NULL,NULL,0173,GM0173,Overijssel,23,PV23
1236,Olst-Wijhe,NULL,NULL,1773,GM1773,Overijssel,23,PV23
1237,Ommen,NULL,NULL,0175,GM0175,Overijssel,23,PV23
1238,Oost Gelre,NULL,NULL,1586,GM1586,Gelderland,25,PV25
1239,Oosterhout,NULL,NULL,0826,GM0826,Noord-Brabant,30,PV30
1240,Ooststellingwerf,NULL,NULL,0085,GM0085,Friesland,21,PV21
1241,Oostzaan,NULL,NULL,0431,GM0431,Noord-Holland,27,PV27
1242,Opmeer,NULL,NULL,0432,GM0432,Noord-Holland,27,PV27
1243,Opsterland,NULL,NULL,0086,GM0086,Friesland,21,PV21
1244,Oss,NULL,NULL,0828,GM0828,Noord-Brabant,30,PV30
1245,Oude IJsselstreek,NULL,NULL,1509,GM1509,Gelderland,25,PV25
1246,Ouder-Amstel,NULL,NULL,0437,GM0437,Noord-Holland,27,PV27
1247,Oudewater,NULL,NULL,0589,GM0589,Utrecht,26,PV26
1248,Overbetuwe,NULL,NULL,1734,GM1734,Gelderland,25,PV25
1249,Papendrecht,NULL,NULL,0590,GM0590,Zuid-Holland,28,PV28
1250,Peel en Maas,NULL,NULL,1894,GM1894,Limburg,31,PV31
1251,Pekela,NULL,NULL,0765,GM0765,Groningen,20,PV20
1252,Pijnacker-Nootdorp,NULL,NULL,1926,GM1926,Zuid-Holland,28,PV28
1253,Purmerend,NULL,NULL,0439,GM0439,Noord-Holland,27,PV27
1254,Putten,NULL,NULL,0273,GM0273,Gelderland,25,PV25
1255,Raalte,NULL,NULL,0177,GM0177,Overijssel,23,PV23
1256,Reimerswaal,NULL,NULL,0703,GM0703,Zeeland,29,PV29
1257,Renkum,NULL,NULL,0274,GM0274,Gelderland,25,PV25
1258,Renswoude,NULL,NULL,0339,GM0339,Utrecht,26,PV26
1259,Reusel-De Mierden,NULL,NULL,1667,GM1667,Noord-Brabant,30,PV30
1260,Rheden,NULL,NULL,0275,GM0275,Gelderland,25,PV25
1261,Rhenen,NULL,NULL,0340,GM0340,Utrecht,26,PV26
1262,Ridderkerk,NULL,NULL,0597,GM0597,Zuid-Holland,28,PV28
1263,Rijssen-Holten,NULL,NULL,1742,GM1742,Overijssel,23,PV23
1264,Rijswijk (ZH.),NULL,NULL,0603,GM0603,Zuid-Holland,28,PV28
1265,Roerdalen,NULL,NULL,1669,GM1669,Limburg,31,PV31
1266,Roermond,NULL,NULL,0957,GM0957,Limburg,31,PV31
1267,De Ronde Venen,NULL,NULL,0736,GM0736,Utrecht,26,PV26
1268,Roosendaal,NULL,NULL,1674,GM1674,Noord-Brabant,30,PV30
1269,Rotterdam,NULL,NULL,0599,GM0599,Zuid-Holland,28,PV28
1270,Rozendaal,NULL,NULL,0277,GM0277,Gelderland,25,PV25
1271,Rucphen,NULL,NULL,0840,GM0840,Noord-Brabant,30,PV30
1272,Schagen,NULL,NULL,0441,GM0441,Noord-Holland,27,PV27
1273,Scherpenzeel,NULL,NULL,0279,GM0279,Gelderland,25,PV25
1274,Schiedam,NULL,NULL,0606,GM0606,Zuid-Holland,28,PV28
1275,Schiermonnikoog,NULL,NULL,0088,GM0088,Friesland,21,PV21
1276,Schouwen-Duiveland,NULL,NULL,1676,GM1676,Zeeland,29,PV29
1277,Simpelveld,NULL,NULL,0965,GM0965,Limburg,31,PV31
1278,Sint-Michielsgestel,NULL,NULL,0845,GM0845,Noord-Brabant,30,PV30
1279,Sittard-Geleen,NULL,NULL,1883,GM1883,Limburg,31,PV31
1280,Sliedrecht,NULL,NULL,0610,GM0610,Zuid-Holland,28,PV28
1281,Sluis,NULL,NULL,1714,GM1714,Zeeland,29,PV29
1282,Smallingerland,NULL,NULL,0090,GM0090,Friesland,21,PV21
1283,Soest,NULL,NULL,0342,GM0342,Utrecht,26,PV26
1284,Someren,NULL,NULL,0847,GM0847,Noord-Brabant,30,PV30
1285,Son en Breugel,NULL,NULL,0848,GM0848,Noord-Brabant,30,PV30
1286,Stadskanaal,NULL,NULL,0037,GM0037,Groningen,20,PV20
1287,Staphorst,NULL,NULL,0180,GM0180,Overijssel,23,PV23
